[7/6/18 09:13PM]	Picked up an item (Id: Item [id=882, amount=13], Amount: 13) at Position: 2698, 3719, 0	
[7/6/18 09:24PM]	Recieved Private-Message from User: Plug which said 'i knw he is '	
[7/6/18 09:24PM]	Recieved Private-Message from User: Plug which said 'he has same walk pattern'	
[7/6/18 09:26PM]	Recieved Private-Message from User: Plug which said 'just bothers me that ive been tryna get an onyx forever'	
[7/6/18 09:26PM]	Recieved Private-Message from User: Plug which said 'and he gets one by botting and doent even know'	
[7/6/18 09:26PM]	Sent Private-Message to User: plug and said 'mhmmm '	
[7/6/18 09:26PM]	Sent Private-Message to User: plug and said 'i said gz he didnt say a word lmaoo'	
[7/6/18 09:26PM]	Recieved Private-Message from User: Plug which said 'same '	
[7/6/18 09:26PM]	Recieved Private-Message from User: Plug which said 'then  pmed him to buy it too '	
[7/6/18 09:27PM]	Sent Private-Message to User: plug and said 'lmaoo'	
[7/6/18 09:27PM]	Sent Private-Message to User: plug and said 'you got it on recording too? lmao '	
[7/6/18 09:27PM]	Recieved Private-Message from User: Plug which said 'i didn't, but i actually caught him macroing at experiments '	
[7/6/18 09:27PM]	Sent Private-Message to User: plug and said 'wow lmaoo..'	
[7/6/18 09:27PM]	Recieved Private-Message from User: Plug which said 'yesterday, and the admin knows about it so he's watchig him close'	
[7/6/18 09:27PM]	Sent Private-Message to User: plug and said 'what a dick'	
[7/6/18 09:28PM]	Recieved Private-Message from User: Plug which said 'so with your vid we can prob get him in trouble '	
[7/6/18 09:33PM]	Bought Item from shop (Id: 10828, Amount: 1)	
[7/6/18 09:33PM]	Bought Item from shop (Id: 1127, Amount: 1)	
[7/6/18 09:33PM]	Bought Item from shop (Id: 1079, Amount: 1)	
[7/6/18 09:33PM]	Bought Item from shop (Id: 4587, Amount: 1)	
[7/6/18 09:33PM]	Bought Item from shop (Id: 1540, Amount: 1)	
[7/7/18 09:33AM]	Bought Item from shop (Id: 3749, Amount: 1)	
[7/7/18 09:33AM]	Bought Item from shop (Id: 2495, Amount: 1)	
[7/7/18 09:33AM]	Bought Item from shop (Id: 2501, Amount: 1)	
[7/7/18 09:33AM]	Bought Item from shop (Id: 9185, Amount: 1)	
[7/7/18 09:34AM]	Bought Item from shop (Id: 9143, Amount: 200)	
[7/7/18 09:34AM]	Bought Item from shop (Id: 9143, Amount: 200)	
[7/7/18 09:34AM]	Bought Item from shop (Id: 10499, Amount: 1)	
[7/7/18 09:34AM]	Bought Item from shop (Id: 868, Amount: 200)	
[7/7/18 09:34AM]	Bought Item from shop (Id: 868, Amount: 200)	
[7/7/18 09:34AM]	Bought Item from shop (Id: 868, Amount: 200)	
