[7/10/18 02:41PM]	Recieved Private-Message from User: Thug which said 'added '	
[7/10/18 02:44PM]	Bought Item from shop (8) (Id: 10499, Amount: 1)	
[7/10/18 02:44PM]	Bought Item from shop (8) (Id: 10156, Amount: 1)	
[7/10/18 02:44PM]	Bought Item from shop (8) (Id: 10158, Amount: 200)	
[7/10/18 02:44PM]	Bought Item from shop (8) (Id: 10159, Amount: 500)	
[7/10/18 02:44PM]	Bought Item from shop (8) (Id: 2497, Amount: 1)	
[7/10/18 02:44PM]	Bought Item from shop (8) (Id: 1129, Amount: 1)	
[7/10/18 02:44PM]	Bought Item from shop (8) (Id: 2491, Amount: 1)	
[7/10/18 02:44PM]	Bought Item from shop (8) (Id: 861, Amount: 1)	
[7/10/18 02:44PM]	Bought Item from shop (8) (Id: 892, Amount: 10)	
[7/10/18 02:44PM]	Bought Item from shop (8) (Id: 892, Amount: 250)	
[7/10/18 02:45PM]	Bought Item from shop (27) (Id: 3842, Amount: 1)	
[7/10/18 02:45PM]	Bought Item from shop (27) (Id: 11133, Amount: 1)	
[7/10/18 02:45PM]	Bought Item from shop (27) (Id: 1712, Amount: 1)	
[7/10/18 02:45PM]	Bought Item from shop (27) (Id: 386, Amount: 200)	
[7/10/18 02:45PM]	Bought Item from shop (27) (Id: 3025, Amount: 50)	
[7/10/18 02:45PM]	Bought Item from shop (27) (Id: 2444, Amount: 5)	
[7/10/18 02:45PM]	Bought Item from shop (27) (Id: 2444, Amount: 8)	
[7/10/18 02:46PM]	Bought Item from shop (8) (Id: 10498, Amount: 1)	
[7/10/18 02:46PM]	Dropped Item (Id: Item [id=1007, amount=1], Amount: 1) at Position: 3087, 3502, 0	
[7/10/18 02:49PM]	Picked up an item (Id: Item [id=10159, amount=1], Amount: 1) at Position: 2709, 3720, 0	
[7/10/18 02:50PM]	Picked up an item (Id: Item [id=10159, amount=2], Amount: 2) at Position: 2710, 3719, 0	
[7/10/18 02:50PM]	Picked up an item (Id: Item [id=10159, amount=3], Amount: 3) at Position: 2710, 3719, 0	
[7/10/18 02:50PM]	Dropped Item (Id: Item [id=10498, amount=1], Amount: 0) at Position: 2711, 3718, 0	
[7/10/18 02:51PM]	Picked up an item (Id: Item [id=10159, amount=1], Amount: 1) at Position: 2707, 3717, 0	
[7/10/18 02:52PM]	Dropped Item (Id: Item [id=882, amount=240], Amount: 0) at Position: 2708, 3717, 0	
[7/10/18 02:52PM]	Dropped Item (Id: Item [id=841, amount=1], Amount: 198) at Position: 2708, 3717, 0	
[7/10/18 02:53PM]	Bought Item from shop (8) (Id: 9185, Amount: 1)	
[7/10/18 02:53PM]	Bought Item from shop (8) (Id: 9144, Amount: 200)	
[7/10/18 02:54PM]	Bought Item from shop (0) (Id: 1540, Amount: 1)	
[7/10/18 02:57PM]	Picked up an item (Id: Item [id=555, amount=75], Amount: 75) at Position: 2968, 3615, 0	
[7/10/18 02:57PM]	Picked up an item (Id: Item [id=1753, amount=1], Amount: 1) at Position: 2969, 3614, 0	
[7/10/18 02:57PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2969, 3614, 0	
[7/10/18 02:57PM]	Picked up an item (Id: Item [id=203, amount=1], Amount: 1) at Position: 2969, 3614, 0	
[7/10/18 02:57PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2969, 3614, 0	
[7/10/18 02:57PM]	Picked up an item (Id: Item [id=10159, amount=2], Amount: 2) at Position: 2971, 3617, 0	
[7/10/18 02:57PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2972, 3617, 0	
[7/10/18 02:57PM]	Picked up an item (Id: Item [id=1753, amount=1], Amount: 1) at Position: 2972, 3617, 0	
[7/10/18 02:57PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2972, 3617, 0	
[7/10/18 02:57PM]	Picked up an item (Id: Item [id=209, amount=1], Amount: 1) at Position: 2972, 3617, 0	
[7/10/18 02:57PM]	Dropped Item (Id: Item [id=1753, amount=1], Amount: 1) at Position: 2972, 3617, 0	
[7/10/18 02:57PM]	Dropped Item (Id: Item [id=1753, amount=1], Amount: 1) at Position: 2972, 3617, 0	
[7/10/18 02:58PM]	Picked up an item (Id: Item [id=12158, amount=6], Amount: 6) at Position: 2969, 3617, 0	
[7/10/18 02:58PM]	Picked up an item (Id: Item [id=995, amount=304], Amount: 304) at Position: 2970, 3616, 0	
[7/10/18 02:58PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2970, 3616, 0	
[7/10/18 02:58PM]	Dropped Item (Id: Item [id=995, amount=304], Amount: 0) at Position: 2970, 3616, 0	
[7/10/18 02:59PM]	Picked up an item (Id: Item [id=203, amount=1], Amount: 1) at Position: 2970, 3616, 0	
[7/10/18 02:59PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2970, 3617, 0	
[7/10/18 02:59PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2970, 3617, 0	
[7/10/18 02:59PM]	Picked up an item (Id: Item [id=12160, amount=6], Amount: 6) at Position: 2971, 3627, 0	
[7/10/18 02:59PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2971, 3627, 0	
[7/10/18 02:59PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2971, 3627, 0	
[7/10/18 02:59PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2971, 3627, 0	
[7/10/18 03:00PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2971, 3627, 0	
[7/10/18 03:00PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2970, 3625, 0	
[7/10/18 03:00PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2971, 3624, 0	
[7/10/18 03:00PM]	Picked up an item (Id: Item [id=365, amount=1], Amount: 1) at Position: 2971, 3624, 0	
[7/10/18 03:00PM]	Picked up an item (Id: Item [id=217, amount=1], Amount: 1) at Position: 2972, 3623, 0	
[7/10/18 03:00PM]	Picked up an item (Id: Item [id=10159, amount=2], Amount: 2) at Position: 2972, 3622, 0	
[7/10/18 03:00PM]	Picked up an item (Id: Item [id=10159, amount=1], Amount: 1) at Position: 2970, 3618, 0	
[7/10/18 03:01PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2975, 3615, 0	
[7/10/18 03:01PM]	Dropped Item (Id: Item [id=229, amount=1], Amount: 1) at Position: 2974, 3615, 0	
[7/10/18 03:01PM]	Picked up an item (Id: Item [id=555, amount=75], Amount: 75) at Position: 2972, 3617, 0	
