[7/5/18 05:19PM]	Sent Private-Message to User: vali and said 'i think the obsticale pipe in taverly dung is bugged '	
[7/5/18 05:20PM]	Sent Private-Message to User: vali and said 'should i post bugs on forum or just tell you? '	
[7/5/18 05:21PM]	Recieved Private-Message from User: Vali which said 'on the forums, depending how many you find'	
[7/5/18 05:27PM]	Sent Private-Message to User: vali and said 'its fixed but need agility level for it'	
[7/5/18 05:27PM]	Sent Private-Message to User: vali and said 'which is fine i think '	
[7/5/18 05:29PM]	Sent Private-Message to User: vali and said 'whats forum link'	
[7/5/18 05:29PM]	Sent Private-Message to User: vali and said 'i dont see it in the advertisement threads'	
[7/5/18 05:29PM]	Recieved Private-Message from User: Vali which said 'mystic-ps.com '	
[7/5/18 05:29PM]	Recieved Private-Message from User: Vali which said 'then go to community '	
[7/5/18 05:29PM]	Sent Private-Message to User: vali and said 'thanks '	
[7/5/18 05:31PM]	Sent Private-Message to User: vali and said 'for the runeserver vote it says no such server found '	
[7/5/18 05:31PM]	Recieved Private-Message from User: Vali which said 'voting isn't done yet '	
[7/5/18 05:32PM]	Recieved Private-Message from User: Vali which said 'will be done the next hour '	
[7/5/18 05:32PM]	Sent Private-Message to User: vali and said 'alright no problem'	
[7/5/18 05:32PM]	Sent Private-Message to User: vali and said 'was just checking '	
[7/5/18 06:07PM]	Sent Private-Message to User: vali and said 'where is achievement shop'	
[7/5/18 06:07PM]	Sent Private-Message to User: vali and said 'or is ther eone '	
[7/5/18 06:07PM]	Sent Private-Message to User: vali and said 'there one* '	
[7/5/18 06:07PM]	Recieved Private-Message from User: Vali which said 'i don't think there is one yet '	
[7/5/18 06:08PM]	Recieved Private-Message from User: Vali which said 'i have to make a special one for iron men as wlel '	
[7/5/18 06:08PM]	Recieved Private-Message from User: Vali which said 'well* '	
[7/5/18 06:08PM]	Sent Private-Message to User: vali and said 'ight no worries just wondering '	
[7/5/18 06:08PM]	Bought Item from shop (Id: 4587, Amount: 1)	
[7/5/18 06:08PM]	Bought Item from shop (Id: 10499, Amount: 1)	
[7/5/18 06:08PM]	Bought Item from shop (Id: 1540, Amount: 1)	
[7/5/18 06:09PM]	Bought Item from shop (Id: 305, Amount: 1)	
[7/5/18 06:09PM]	Bought Item from shop (Id: 301, Amount: 1)	
[7/5/18 06:09PM]	Bought Item from shop (Id: 311, Amount: 1)	
[7/5/18 06:09PM]	Bought Item from shop (Id: 309, Amount: 1)	
[7/5/18 06:09PM]	Bought Item from shop (Id: 307, Amount: 1)	
[7/5/18 06:09PM]	Bought Item from shop (Id: 314, Amount: 10)	
[7/5/18 06:09PM]	Bought Item from shop (Id: 314, Amount: 55)	
[7/5/18 06:15PM]	Bought Item from shop (Id: 303, Amount: 1)	
[7/5/18 06:18PM]	Bought Item from shop (Id: 313, Amount: 65)	
[7/5/18 07:05PM]	Picked up an item (Id: Item [id=554, amount=60], Amount: 60) at Position: 2661, 9497, 0	
[7/5/18 07:05PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2661, 9497, 0	
[7/5/18 07:06PM]	Picked up an item (Id: Item [id=562, amount=12], Amount: 12) at Position: 2665, 9490, 0	
[7/5/18 07:06PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9490, 0	
[7/5/18 07:06PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2665, 9490, 0	
[7/5/18 07:06PM]	Picked up an item (Id: Item [id=213, amount=1], Amount: 1) at Position: 2665, 9490, 0	
[7/5/18 07:06PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9490, 0	
[7/5/18 07:06PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2666, 9489, 0	
[7/5/18 07:06PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2666, 9489, 0	
[7/5/18 07:07PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2661, 9492, 0	
[7/5/18 07:07PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2662, 9492, 0	
[7/5/18 07:07PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2665, 9490, 0	
[7/5/18 07:07PM]	Picked up an item (Id: Item [id=892, amount=12], Amount: 12) at Position: 2665, 9489, 0	
[7/5/18 07:08PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9489, 0	
[7/5/18 07:08PM]	Picked up an item (Id: Item [id=12158, amount=10], Amount: 10) at Position: 2665, 9489, 0	
[7/5/18 07:08PM]	Picked up an item (Id: Item [id=563, amount=3], Amount: 3) at Position: 2665, 9489, 0	
[7/5/18 07:08PM]	Dropped Item (Id: Item [id=563, amount=3], Amount: 1) at Position: 2666, 9489, 0	
[7/5/18 07:08PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2666, 9489, 0	
[7/5/18 07:08PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2666, 9489, 0	
[7/5/18 07:09PM]	Picked up an item (Id: Item [id=1333, amount=1], Amount: 1) at Position: 2664, 9482, 0	
[7/5/18 07:09PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2664, 9482, 0	
[7/5/18 07:10PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2664, 9481, 0	
[7/5/18 07:10PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2664, 9482, 0	
