[7/5/18 06:29PM]	Bought Item from shop (Id: 4587, Amount: 1)	
[7/5/18 06:30PM]	Bought Item from shop (Id: 1333, Amount: 1)	
[7/5/18 06:31PM]	Bought Item from shop (Id: 10828, Amount: 1)	
[7/5/18 06:31PM]	Bought Item from shop (Id: 1540, Amount: 1)	
[7/5/18 06:31PM]	Bought Item from shop (Id: 5698, Amount: 1)	
[7/5/18 06:36PM]	Dropped Item (Id: Item [id=1897, amount=1], Amount: 1) at Position: 3077, 3506, 0	
[7/5/18 06:36PM]	Sold Item to shop (Id: 1891, Amount: 6)	
[7/5/18 06:36PM]	Sold Item to shop (Id: 1897, Amount: 7)	
[7/5/18 06:37PM]	Dropped Item (Id: Item [id=1897, amount=1], Amount: 1) at Position: 3092, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 1) at Position: 3093, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 0) at Position: 3095, 3504, 0	
