[7/5/18 09:10PM]	Dropped Item (Id: Item [id=1323, amount=1], Amount: 257500) at Position: 3079, 3508, 0	
[7/5/18 09:11PM]	Bought Item from shop (Id: 1333, Amount: 1)	
[7/5/18 09:11PM]	Dropped Item (Id: Item [id=841, amount=1], Amount: 234460) at Position: 3082, 3506, 0	
[7/5/18 09:11PM]	Bought Item from shop (Id: 10499, Amount: 1)	
[7/5/18 09:11PM]	Bought Item from shop (Id: 868, Amount: 200)	
[7/5/18 09:12PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 2710, 3716, 0	
[7/5/18 09:12PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 2708, 3719, 0	
[7/5/18 09:12PM]	Picked up an item (Id: Item [id=868, amount=2], Amount: 2) at Position: 2708, 3719, 0	
[7/5/18 09:12PM]	Picked up an item (Id: Item [id=868, amount=4], Amount: 4) at Position: 2709, 3717, 0	
[7/5/18 09:13PM]	Dropped Item (Id: Item [id=1067, amount=1], Amount: 132460) at Position: 3081, 3502, 0	
[7/5/18 09:13PM]	Dropped Item (Id: Item [id=1115, amount=1], Amount: 132460) at Position: 3079, 3504, 0	
[7/5/18 09:14PM]	Bought Item from shop (Id: 2497, Amount: 1)	
[7/5/18 09:14PM]	Bought Item from shop (Id: 2491, Amount: 1)	
[7/5/18 09:14PM]	Bought Item from shop (Id: 3105, Amount: 1)	
[7/5/18 09:14PM]	Bought Item from shop (Id: 6109, Amount: 1)	
[7/5/18 09:15PM]	Sold Item to shop (Id: 1891, Amount: 1)	
[7/5/18 09:15PM]	Sold Item to shop (Id: 1897, Amount: 2)	
[7/5/18 09:18PM]	Picked up an item (Id: Item [id=564, amount=2], Amount: 2) at Position: 2668, 9557, 0	
[7/5/18 09:18PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2668, 9557, 0	
[7/5/18 09:18PM]	Picked up an item (Id: Item [id=209, amount=1], Amount: 1) at Position: 2668, 9557, 0	
[7/5/18 09:19PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2664, 9556, 0	
[7/5/18 09:20PM]	Sold Item to shop (Id: 868, Amount: 10)	
[7/5/18 09:20PM]	Sold Item to shop (Id: 868, Amount: 10)	
[7/5/18 09:20PM]	Sold Item to shop (Id: 868, Amount: 10)	
[7/5/18 09:20PM]	Sold Item to shop (Id: 868, Amount: 10)	
[7/5/18 09:20PM]	Sold Item to shop (Id: 868, Amount: 10)	
[7/5/18 09:20PM]	Sold Item to shop (Id: 868, Amount: 5)	
[7/5/18 09:20PM]	Sold Item to shop (Id: 868, Amount: 10)	
[7/5/18 09:20PM]	Sold Item to shop (Id: 868, Amount: 10)	
[7/5/18 09:21PM]	Sold Item to shop (Id: 868, Amount: 10)	
[7/5/18 09:21PM]	Sold Item to shop (Id: 868, Amount: 10)	
[7/5/18 09:21PM]	Sold Item to shop (Id: 868, Amount: 10)	
[7/5/18 09:21PM]	Sold Item to shop (Id: 868, Amount: 10)	
[7/5/18 09:21PM]	Sold Item to shop (Id: 868, Amount: 10)	
[7/5/18 09:21PM]	Sold Item to shop (Id: 868, Amount: 10)	
[7/5/18 09:21PM]	Sold Item to shop (Id: 868, Amount: 10)	
[7/5/18 09:21PM]	Sold Item to shop (Id: 868, Amount: 10)	
[7/5/18 09:21PM]	Sold Item to shop (Id: 868, Amount: 10)	
[7/5/18 09:21PM]	Bought Item from shop (Id: 4587, Amount: 1)	
[7/5/18 09:22PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2666, 9557, 0	
[7/5/18 09:22PM]	Picked up an item (Id: Item [id=558, amount=3], Amount: 3) at Position: 2666, 9557, 0	
