[7/9/18 01:28AM]	Dropped Item (Id: Item [id=1856, amount=1], Amount: 250000) at Position: 3094, 3478, 0	
[7/9/18 01:32AM]	Bought Item from shop (7) (Id: 1163, Amount: 1)	
[7/9/18 01:32AM]	Bought Item from shop (7) (Id: 1127, Amount: 1)	
[7/9/18 01:32AM]	Bought Item from shop (7) (Id: 1079, Amount: 1)	
[7/9/18 01:32AM]	Bought Item from shop (7) (Id: 1201, Amount: 1)	
[7/9/18 01:32AM]	Bought Item from shop (7) (Id: 10828, Amount: 1)	
[7/9/18 01:33AM]	Bought Item from shop (7) (Id: 1333, Amount: 1)	
[7/9/18 01:34AM]	Dropped Item (Id: Item [id=1897, amount=1], Amount: 1) at Position: 3093, 3504, 0	
[7/9/18 01:34AM]	Dropped Item (Id: Item [id=1897, amount=1], Amount: 1) at Position: 3093, 3504, 0	
[7/9/18 01:35AM]	Dropped Item (Id: Item [id=1897, amount=1], Amount: 1) at Position: 3093, 3504, 0	
[7/9/18 01:35AM]	Dropped Item (Id: Item [id=1891, amount=1], Amount: 1) at Position: 3093, 3504, 0	
[7/9/18 01:35AM]	Dropped Item (Id: Item [id=1897, amount=1], Amount: 1) at Position: 3093, 3504, 0	
[7/9/18 01:35AM]	Dropped Item (Id: Item [id=1897, amount=1], Amount: 1) at Position: 3093, 3504, 0	
[7/9/18 01:35AM]	Dropped Item (Id: Item [id=1891, amount=1], Amount: 1) at Position: 3093, 3504, 0	
[7/9/18 01:35AM]	Dropped Item (Id: Item [id=1891, amount=1], Amount: 1) at Position: 3093, 3504, 0	
[7/9/18 01:35AM]	Dropped Item (Id: Item [id=1891, amount=1], Amount: 1) at Position: 3093, 3504, 0	
[7/9/18 01:35AM]	Dropped Item (Id: Item [id=1897, amount=1], Amount: 1) at Position: 3093, 3504, 0	
[7/9/18 01:35AM]	Dropped Item (Id: Item [id=1891, amount=1], Amount: 1) at Position: 3093, 3504, 0	
[7/9/18 01:35AM]	Dropped Item (Id: Item [id=1897, amount=1], Amount: 1) at Position: 3093, 3504, 0	
[7/9/18 01:35AM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 1) at Position: 3093, 3504, 0	
[7/9/18 01:35AM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 1) at Position: 3093, 3504, 0	
[7/9/18 01:35AM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 1) at Position: 3093, 3504, 0	
[7/9/18 01:35AM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 1) at Position: 3093, 3504, 0	
[7/9/18 01:35AM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 1) at Position: 3093, 3504, 0	
[7/9/18 01:35AM]	Bought Item from shop (29) (Id: 307, Amount: 25)	
[7/9/18 01:35AM]	Sold Item to shop (Id: 307, Amount: 1)	
[7/9/18 01:35AM]	Bought Item from shop (29) (Id: 314, Amount: 500)	
[7/9/18 01:35AM]	Sold Item to shop (Id: 307, Amount: 10)	
[7/9/18 01:35AM]	Sold Item to shop (Id: 307, Amount: 10)	
[7/9/18 01:35AM]	Sold Item to shop (Id: 307, Amount: 1)	
[7/9/18 01:35AM]	Sold Item to shop (Id: 307, Amount: 1)	
[7/9/18 01:35AM]	Sold Item to shop (Id: 307, Amount: 1)	
[7/9/18 01:35AM]	Bought Item from shop (29) (Id: 309, Amount: 1)	
[7/9/18 01:35AM]	Bought Item from shop (29) (Id: 313, Amount: 500)	
[7/9/18 01:35AM]	Bought Item from shop (29) (Id: 305, Amount: 1)	
[7/9/18 01:35AM]	Sold Item to shop (Id: 305, Amount: 1)	
[7/9/18 01:35AM]	Bought Item from shop (29) (Id: 303, Amount: 1)	
[7/9/18 01:35AM]	Bought Item from shop (29) (Id: 1349, Amount: 1)	
[7/9/18 01:35AM]	Bought Item from shop (29) (Id: 590, Amount: 1)	
[7/9/18 01:37AM]	Dropped Item (Id: Item [id=303, amount=1], Amount: 1) at Position: 3093, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=369, amount=1], Amount: 1) at Position: 3101, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=325, amount=1], Amount: 1) at Position: 3101, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=325, amount=1], Amount: 1) at Position: 3101, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=325, amount=1], Amount: 1) at Position: 3101, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=325, amount=1], Amount: 1) at Position: 3101, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=325, amount=1], Amount: 1) at Position: 3101, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=325, amount=1], Amount: 1) at Position: 3101, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=325, amount=1], Amount: 1) at Position: 3101, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=325, amount=1], Amount: 1) at Position: 3101, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=325, amount=1], Amount: 1) at Position: 3101, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=325, amount=1], Amount: 1) at Position: 3101, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=325, amount=1], Amount: 1) at Position: 3101, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=317, amount=1], Amount: 1) at Position: 3101, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=325, amount=1], Amount: 1) at Position: 3101, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=369, amount=1], Amount: 1) at Position: 3101, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=325, amount=1], Amount: 1) at Position: 3101, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=325, amount=1], Amount: 1) at Position: 3101, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=317, amount=1], Amount: 1) at Position: 3101, 3217, 0	
[7/9/18 01:38AM]	Dropped Item (Id: Item [id=1323, amount=1], Amount: 0) at Position: 3088, 3237, 0	
[7/9/18 01:39AM]	Dropped Item (Id: Item [id=327, amount=1], Amount: 1) at Position: 3090, 3226, 0	
[7/9/18 01:41AM]	Dropped Item (Id: Item [id=347, amount=1], Amount: 1) at Position: 3091, 3217, 0	
[7/9/18 01:41AM]	Dropped Item (Id: Item [id=325, amount=1], Amount: 1) at Position: 3091, 3217, 0	
[7/9/18 01:41AM]	Dropped Item (Id: Item [id=325, amount=1], Amount: 1) at Position: 3091, 3217, 0	
[7/9/18 01:41AM]	Dropped Item (Id: Item [id=347, amount=1], Amount: 1) at Position: 3091, 3217, 0	
[7/9/18 01:41AM]	Dropped Item (Id: Item [id=343, amount=1], Amount: 1) at Position: 3091, 3217, 0	
[7/9/18 01:41AM]	Dropped Item (Id: Item [id=343, amount=1], Amount: 1) at Position: 3091, 3217, 0	
[7/9/18 01:41AM]	Dropped Item (Id: Item [id=347, amount=1], Amount: 1) at Position: 3091, 3217, 0	
[7/9/18 01:41AM]	Dropped Item (Id: Item [id=325, amount=1], Amount: 1) at Position: 3091, 3217, 0	
[7/9/18 01:41AM]	Dropped Item (Id: Item [id=325, amount=1], Amount: 1) at Position: 3091, 3217, 0	
[7/9/18 01:41AM]	Dropped Item (Id: Item [id=351, amount=1], Amount: 1) at Position: 3091, 3217, 0	
[7/9/18 01:41AM]	Dropped Item (Id: Item [id=351, amount=1], Amount: 1) at Position: 3091, 3217, 0	
[7/9/18 01:41AM]	Dropped Item (Id: Item [id=351, amount=1], Amount: 1) at Position: 3091, 3217, 0	
[7/9/18 01:41AM]	Dropped Item (Id: Item [id=347, amount=1], Amount: 1) at Position: 3091, 3217, 0	
[7/9/18 01:41AM]	Dropped Item (Id: Item [id=351, amount=1], Amount: 1) at Position: 3091, 3217, 0	
[7/9/18 01:41AM]	Dropped Item (Id: Item [id=347, amount=1], Amount: 0) at Position: 3091, 3217, 0	
[7/9/18 01:41AM]	Dropped Item (Id: Item [id=347, amount=1], Amount: 0) at Position: 3091, 3217, 0	
[7/9/18 01:45AM]	Dropped Item (Id: Item [id=329, amount=1], Amount: 1) at Position: 3106, 3433, 0	
[7/9/18 01:45AM]	Dropped Item (Id: Item [id=343, amount=1], Amount: 1) at Position: 3106, 3433, 0	
[7/9/18 01:45AM]	Dropped Item (Id: Item [id=333, amount=1], Amount: 1) at Position: 3106, 3433, 0	
[7/9/18 01:45AM]	Dropped Item (Id: Item [id=343, amount=1], Amount: 1) at Position: 3106, 3433, 0	
[7/9/18 01:45AM]	Dropped Item (Id: Item [id=333, amount=1], Amount: 1) at Position: 3106, 3433, 0	
[7/9/18 01:45AM]	Dropped Item (Id: Item [id=333, amount=1], Amount: 1) at Position: 3106, 3433, 0	
[7/9/18 01:45AM]	Dropped Item (Id: Item [id=329, amount=1], Amount: 1) at Position: 3106, 3433, 0	
[7/9/18 01:45AM]	Dropped Item (Id: Item [id=329, amount=1], Amount: 1) at Position: 3106, 3433, 0	
[7/9/18 01:45AM]	Dropped Item (Id: Item [id=329, amount=1], Amount: 1) at Position: 3106, 3433, 0	
[7/9/18 01:45AM]	Dropped Item (Id: Item [id=329, amount=1], Amount: 1) at Position: 3106, 3433, 0	
[7/9/18 01:45AM]	Dropped Item (Id: Item [id=333, amount=1], Amount: 1) at Position: 3106, 3433, 0	
[7/9/18 01:45AM]	Dropped Item (Id: Item [id=329, amount=1], Amount: 1) at Position: 3106, 3433, 0	
[7/9/18 01:45AM]	Dropped Item (Id: Item [id=333, amount=1], Amount: 1) at Position: 3106, 3433, 0	
[7/9/18 01:45AM]	Dropped Item (Id: Item [id=343, amount=1], Amount: 1) at Position: 3106, 3433, 0	
[7/9/18 01:45AM]	Dropped Item (Id: Item [id=343, amount=1], Amount: 1) at Position: 3106, 3433, 0	
[7/9/18 01:45AM]	Dropped Item (Id: Item [id=333, amount=1], Amount: 1) at Position: 3106, 3433, 0	
[7/9/18 01:45AM]	Dropped Item (Id: Item [id=333, amount=1], Amount: 1) at Position: 3106, 3433, 0	
[7/9/18 01:45AM]	Dropped Item (Id: Item [id=329, amount=1], Amount: 1) at Position: 3109, 3432, 0	
[7/9/18 01:47AM]	Dropped Item (Id: Item [id=329, amount=1], Amount: 1) at Position: 3104, 3434, 0	
[7/9/18 01:47AM]	Dropped Item (Id: Item [id=329, amount=1], Amount: 1) at Position: 3104, 3434, 0	
[7/9/18 01:47AM]	Dropped Item (Id: Item [id=333, amount=1], Amount: 1) at Position: 3104, 3434, 0	
[7/9/18 01:47AM]	Dropped Item (Id: Item [id=329, amount=1], Amount: 1) at Position: 3104, 3434, 0	
[7/9/18 01:47AM]	Dropped Item (Id: Item [id=333, amount=1], Amount: 1) at Position: 3104, 3434, 0	
[7/9/18 01:47AM]	Dropped Item (Id: Item [id=333, amount=1], Amount: 1) at Position: 3104, 3434, 0	
[7/9/18 01:47AM]	Dropped Item (Id: Item [id=333, amount=1], Amount: 1) at Position: 3104, 3434, 0	
[7/9/18 01:47AM]	Dropped Item (Id: Item [id=333, amount=1], Amount: 1) at Position: 3104, 3434, 0	
[7/9/18 01:47AM]	Dropped Item (Id: Item [id=333, amount=1], Amount: 1) at Position: 3104, 3434, 0	
[7/9/18 01:47AM]	Dropped Item (Id: Item [id=329, amount=1], Amount: 1) at Position: 3104, 3434, 0	
[7/9/18 01:47AM]	Dropped Item (Id: Item [id=333, amount=1], Amount: 1) at Position: 3104, 3434, 0	
[7/9/18 01:47AM]	Dropped Item (Id: Item [id=329, amount=1], Amount: 1) at Position: 3104, 3434, 0	
[7/9/18 01:47AM]	Dropped Item (Id: Item [id=333, amount=1], Amount: 1) at Position: 3104, 3434, 0	
[7/9/18 01:47AM]	Dropped Item (Id: Item [id=333, amount=1], Amount: 1) at Position: 3104, 3434, 0	
[7/9/18 01:47AM]	Dropped Item (Id: Item [id=343, amount=1], Amount: 1) at Position: 3104, 3434, 0	
[7/9/18 01:47AM]	Dropped Item (Id: Item [id=329, amount=1], Amount: 1) at Position: 3104, 3434, 0	
[7/9/18 01:47AM]	Dropped Item (Id: Item [id=329, amount=1], Amount: 1) at Position: 3104, 3434, 0	
[7/9/18 01:47AM]	Dropped Item (Id: Item [id=343, amount=1], Amount: 0) at Position: 3104, 3434, 0	
