[7/10/18 02:00PM]	Sent Private-Message to User: vali and said 'hey'	
[7/10/18 02:15PM]	Bought Item from shop (7) (Id: 5698, Amount: 1)	
[7/10/18 02:15PM]	Bought Item from shop (7) (Id: 4587, Amount: 1)	
[7/10/18 02:16PM]	Bought Item from shop (7) (Id: 1079, Amount: 1)	
[7/10/18 02:16PM]	Bought Item from shop (7) (Id: 1127, Amount: 1)	
---[7/10/18 02:21PM]	---
Raymond has received 300512 Coins from Thug
[7/10/18 02:21PM]	Bought Item from shop (7) (Id: 10828, Amount: 1)	
[7/10/18 02:21PM]	Bought Item from shop (7) (Id: 3122, Amount: 1)	
[7/10/18 02:22PM]	Bought Item from shop (27) (Id: 3105, Amount: 1)	
[7/10/18 02:22PM]	Bought Item from shop (27) (Id: 11133, Amount: 1)	
[7/10/18 02:22PM]	Bought Item from shop (27) (Id: 3105, Amount: 1)	
[7/10/18 02:33PM]	Picked up an item (Id: Item [id=1147, amount=1], Amount: 1) at Position: 3016, 3846, 0	
[7/10/18 02:34PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 3016, 3845, 0	
[7/10/18 02:36PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 3014, 3845, 0	
[7/10/18 02:37PM]	Picked up an item (Id: Item [id=1147, amount=1], Amount: 1) at Position: 3013, 3845, 0	
[7/10/18 02:37PM]	Picked up an item (Id: Item [id=12163, amount=6], Amount: 6) at Position: 3013, 3847, 0	
[7/10/18 02:37PM]	Picked up an item (Id: Item [id=592, amount=1], Amount: 1) at Position: 3015, 3846, 0	
[7/10/18 02:37PM]	Picked up an item (Id: Item [id=592, amount=1], Amount: 1) at Position: 3015, 3846, 0	
[7/10/18 02:37PM]	Dropped Item (Id: Item [id=592, amount=1], Amount: 10) at Position: 3015, 3845, 0	
[7/10/18 02:37PM]	Picked up an item (Id: Item [id=560, amount=1], Amount: 1) at Position: 3015, 3845, 0	
[7/10/18 02:37PM]	Dropped Item (Id: Item [id=592, amount=1], Amount: 10) at Position: 3015, 3845, 0	
[7/10/18 02:49PM]	Recieved Private-Message from User: Vali which said 'hes asking if your staff or a player'	
[7/10/18 02:49PM]	Sent Private-Message to User: vali and said 'me lol '	
