[7/5/18 04:21PM]	Picked up an item (Id: Item [id=882, amount=5], Amount: 5) at Position: 3260, 3275, 0	
[7/5/18 04:23PM]	Picked up an item (Id: Item [id=12158, amount=8], Amount: 8) at Position: 3261, 3263, 0	
[7/5/18 04:23PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 3262, 3263, 0	
[7/5/18 04:47PM]	Bought Item from shop (Id: 10499, Amount: 1)	
[7/5/18 04:47PM]	Bought Item from shop (Id: 10156, Amount: 1)	
[7/5/18 04:47PM]	Bought Item from shop (Id: 10159, Amount: 10)	
[7/5/18 04:47PM]	Bought Item from shop (Id: 10159, Amount: 5)	
[7/5/18 04:47PM]	Bought Item from shop (Id: 10159, Amount: 5)	
[7/5/18 04:47PM]	Bought Item from shop (Id: 10159, Amount: 5)	
[7/5/18 04:47PM]	Bought Item from shop (Id: 10159, Amount: 5)	
[7/5/18 04:47PM]	Bought Item from shop (Id: 10159, Amount: 5)	
[7/5/18 04:48PM]	Bought Item from shop (Id: 2493, Amount: 1)	
[7/5/18 04:48PM]	Bought Item from shop (Id: 2487, Amount: 1)	
[7/5/18 04:48PM]	Bought Item from shop (Id: 3105, Amount: 1)	
[7/5/18 04:48PM]	Bought Item from shop (Id: 868, Amount: 10)	
[7/5/18 04:50PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 3088, 3543, 0	
[7/5/18 04:50PM]	Picked up an item (Id: Item [id=868, amount=3], Amount: 3) at Position: 3087, 3544, 0	
[7/5/18 04:51PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 3087, 3545, 0	
