[3/7/18 04:52AM]	Valie: f	
[3/7/18 04:54AM]	Valie: j	
[3/7/18 04:54AM]	Valie: h 	
[3/7/18 11:31PM]	Tyler: reeeeeee	
[3/8/18 12:51AM]	Hoe: 4000	
[3/8/18 12:51AM]	Hoe: 10000	
[3/8/18 12:51AM]	Hoe: 1725	
[3/8/18 12:51AM]	Hoe: 10825	
[3/13/18 08:37PM]	Valiazzzzz: t 	
[3/13/18 08:37PM]	Valiazzzzz: y	
[3/13/18 08:37PM]	Valiazzzzz: hh	
[3/13/18 08:37PM]	Valiazzzzz: yyyyyyyy	
[3/13/18 08:41PM]	Vall: hui 	
[3/23/18 06:25PM]	Tyler: ree 	
[3/23/18 06:41PM]	Shitserver: .	
[3/23/18 07:03PM]	Tyler: .	
[5/8/18 09:47PM]	Al capone: j\	
[6/29/18 09:30PM]	Vali5555555: t 	
[6/29/18 09:30PM]	Vali5555555: uoo 	
[6/30/18 01:25AM]	Valia: l 	
[7/2/18 10:26PM]	Vali4444: hello 	
[7/2/18 10:27PM]	Vali4444: j	
[7/2/18 10:27PM]	Vali4444: hello 	
[7/4/18 07:50PM]	Zelazz: hello fellow noob	
[7/5/18 03:34AM]	Vali3: j	
[7/5/18 03:34AM]	Vali7: h 	
[7/5/18 04:19PM]	Iburn: ehh that's weird. best of luck though man	
[7/5/18 04:31PM]	Pete: why does my right click do the same as my left click 	
[7/5/18 04:31PM]	Pete: i can walk around using right click 	
[7/5/18 04:32PM]	Pete: it does it on either mode	
[7/5/18 04:32PM]	Pete: on or off 	
[7/5/18 04:33PM]	Pete: lol arlight then 	
[7/5/18 04:33PM]	Ringleader: mine works fine 	
[7/5/18 04:33PM]	Pete: you guys cant click around with your right click? 	
[7/5/18 04:33PM]	Ringleader: opens the menu	
[7/5/18 04:33PM]	Ringleader: for me	
[7/5/18 04:33PM]	Ringleader: when i rightclick	
[7/5/18 04:33PM]	Pete: im moving with right click 	
[7/5/18 04:34PM]	Pete: ok 	
[7/5/18 04:35PM]	Pete: yah	
[7/5/18 04:36PM]	Speedy: hi	
[7/5/18 04:36PM]	Speedy: give me 1b 	
[7/5/18 04:36PM]	Speedy: :d 	
[7/5/18 04:36PM]	Speedy: xd 	
[7/5/18 04:36PM]	Speedy: nah 2	
[7/5/18 04:36PM]	Speedy: :d 	
[7/5/18 04:36PM]	Pete: still samer	
[7/5/18 04:36PM]	Pete: same 	
[7/5/18 04:36PM]	Speedy: wait 	
[7/5/18 04:36PM]	Speedy: wait 	
[7/5/18 04:36PM]	Speedy: hold up	
[7/5/18 04:36PM]	Speedy: ill take a 5b	
[7/5/18 04:37PM]	Speedy: :d 	
[7/5/18 04:37PM]	Pete: well thats a shame	
[7/5/18 04:37PM]	Speedy: oh no 	
