[3/23/18 06:33PM]	Picked up an item (Id: Item [id=882, amount=10], Amount: 10) at Position: 2712, 3715, 0	
[3/23/18 06:35PM]	Picked up an item (Id: Item [id=882, amount=8], Amount: 8) at Position: 2710, 3720, 0	
[3/23/18 06:40PM]	Bought Item from shop (Id: 2495, Amount: 1)	
[3/23/18 06:40PM]	Bought Item from shop (Id: 861, Amount: 1)	
[3/23/18 06:40PM]	Bought Item from shop (Id: 10499, Amount: 1)	
[3/23/18 06:42PM]	Bought Item from shop (Id: 1540, Amount: 1)	
[3/23/18 06:47PM]	Dropped Item (Id: Item [id=1891, amount=1], Amount: 1) at Position: 3481, 9942, 0	
[3/23/18 06:47PM]	Dropped Item (Id: Item [id=1897, amount=1], Amount: 1) at Position: 3481, 9942, 0	
[3/23/18 06:47PM]	Dropped Item (Id: Item [id=1897, amount=1], Amount: 1) at Position: 3481, 9942, 0	
[3/23/18 06:47PM]	Dropped Item (Id: Item [id=379, amount=1], Amount: 1) at Position: 3094, 3491, 0	
[3/23/18 06:47PM]	Dropped Item (Id: Item [id=379, amount=1], Amount: 1) at Position: 3094, 3497, 0	
[3/23/18 06:47PM]	Dropped Item (Id: Item [id=379, amount=1], Amount: 1) at Position: 3090, 3501, 0	
[3/23/18 06:47PM]	Dropped Item (Id: Item [id=379, amount=1], Amount: 1) at Position: 3090, 3501, 0	
[3/23/18 06:47PM]	Picked up an item (Id: Item [id=379, amount=1], Amount: 1) at Position: 3090, 3501, 0	
[3/23/18 06:47PM]	Picked up an item (Id: Item [id=379, amount=1], Amount: 1) at Position: 3090, 3501, 0	
[3/23/18 06:49PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2322, 3797, 0	
[3/23/18 06:49PM]	Picked up an item (Id: Item [id=10828, amount=1], Amount: 1) at Position: 2322, 3797, 0	
[3/23/18 06:49PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2328, 3796, 0	
[3/23/18 06:50PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2328, 3794, 0	
[3/23/18 06:51PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2326, 3793, 0	
[3/23/18 06:57PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2323, 3791, 0	
[3/23/18 06:58PM]	Picked up an item (Id: Item [id=12158, amount=6], Amount: 6) at Position: 2325, 3792, 0	
[3/23/18 06:59PM]	Picked up an item (Id: Item [id=12158, amount=8], Amount: 8) at Position: 2325, 3801, 0	
[3/23/18 06:59PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2324, 3800, 0	
