[7/4/18 07:57PM]	Picked up an item (Id: Item [id=12158, amount=8], Amount: 8) at Position: 3261, 3270, 0	
[7/4/18 08:01PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 3259, 3272, 0	
[7/4/18 08:01PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 3261, 3269, 0	
[7/4/18 08:01PM]	Picked up an item (Id: Item [id=12158, amount=10], Amount: 10) at Position: 3262, 3268, 0	
---[7/5/18 03:04PM]	---
Zelazz has received 1 Chest from Vali
[7/5/18 03:13PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:14PM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/5/18 03:15PM]	Bought Item from shop (Id: 20086, Amount: 1)	
[7/5/18 03:50PM]	Bought Item from shop (Id: 6758, Amount: 1)	
[7/5/18 03:50PM]	Bought Item from shop (Id: 607, Amount: 1)	
[7/5/18 03:50PM]	Bought Item from shop (Id: 608, Amount: 1)	
[7/10/18 07:53AM]	Bought Item from shop (Id: 11283, Amount: 1)	
[7/10/18 07:53AM]	Bought Item from shop (Id: 6585, Amount: 1)	
[7/10/18 07:53AM]	Bought Item from shop (Id: 20072, Amount: 1)	
[7/10/18 07:53AM]	Bought Item from shop (Id: 10551, Amount: 1)	
[7/10/18 07:54AM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/10/18 07:54AM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/10/18 07:54AM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/10/18 07:54AM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/10/18 07:54AM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/10/18 07:54AM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/10/18 07:54AM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/10/18 07:54AM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/10/18 07:54AM]	Bought Item from shop (Id: 6199, Amount: 1)	
[7/10/18 09:34AM]	Picked up an item (Id: Item [id=536, amount=2], Amount: 2) at Position: 3337, 3677, 0	
[7/10/18 09:34AM]	Picked up an item (Id: Item [id=1753, amount=1], Amount: 1) at Position: 3336, 3678, 0	
[7/10/18 09:34AM]	Picked up an item (Id: Item [id=209, amount=1], Amount: 1) at Position: 3336, 3678, 0	
[7/10/18 09:34AM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 3336, 3678, 0	
[7/10/18 09:34AM]	Picked up an item (Id: Item [id=536, amount=2], Amount: 2) at Position: 3330, 3679, 0	
[7/10/18 09:34AM]	Picked up an item (Id: Item [id=12159, amount=6], Amount: 6) at Position: 3330, 3679, 0	
[7/10/18 09:34AM]	Picked up an item (Id: Item [id=1753, amount=1], Amount: 1) at Position: 3330, 3679, 0	
[7/10/18 09:34AM]	Picked up an item (Id: Item [id=205, amount=1], Amount: 1) at Position: 3330, 3679, 0	
[7/10/18 09:35AM]	Dropped Item (Id: Item [id=8901, amount=1], Amount: 1) at Position: 3329, 3684, 0	
[7/10/18 09:37AM]	Picked up an item (Id: Item [id=537, amount=2], Amount: 2) at Position: 3336, 3675, 0	
[7/10/18 09:37AM]	Picked up an item (Id: Item [id=537, amount=2], Amount: 2) at Position: 3333, 3676, 0	
[7/10/18 09:46AM]	Picked up an item (Id: Item [id=537, amount=2], Amount: 2) at Position: 2972, 3616, 0	
[7/10/18 09:46AM]	Picked up an item (Id: Item [id=536, amount=2], Amount: 2) at Position: 2971, 3615, 0	
[7/10/18 09:46AM]	Picked up an item (Id: Item [id=536, amount=2], Amount: 2) at Position: 2972, 3619, 0	
[7/10/18 09:47AM]	Picked up an item (Id: Item [id=536, amount=2], Amount: 2) at Position: 2980, 3612, 0	
[7/10/18 09:47AM]	Picked up an item (Id: Item [id=537, amount=2], Amount: 2) at Position: 2979, 3611, 0	
[7/10/18 09:47AM]	Picked up an item (Id: Item [id=537, amount=2], Amount: 2) at Position: 2980, 3615, 0	
[7/10/18 09:47AM]	Picked up an item (Id: Item [id=536, amount=2], Amount: 2) at Position: 2980, 3615, 0	
[7/10/18 09:47AM]	Picked up an item (Id: Item [id=536, amount=2], Amount: 2) at Position: 2976, 3614, 0	
[7/10/18 09:47AM]	Picked up an item (Id: Item [id=537, amount=2], Amount: 2) at Position: 2976, 3614, 0	
[7/10/18 11:49AM]	Picked up an item (Id: Item [id=882, amount=2], Amount: 2) at Position: 2707, 3718, 0	
---[7/10/18 12:19PM]	---
Zelazz has given 1 Runite Ore to Turtle
Zelazz has given 1 Runite Bar to Turtle
---[7/10/18 12:28PM]	---
Zelazz has given 1 Dragon Bones to Turtle
[7/10/18 12:51PM]	Picked up an item (Id: Item [id=2362, amount=48], Amount: 48) at Position: 1760, 5188, 0	
[7/10/18 12:52PM]	Picked up an item (Id: Item [id=7416, amount=1], Amount: 1) at Position: 1759, 5189, 0	
[7/10/18 12:52PM]	Picked up an item (Id: Item [id=12159, amount=4], Amount: 4) at Position: 1759, 5189, 0	
[7/10/18 12:52PM]	Picked up an item (Id: Item [id=7418, amount=3], Amount: 3) at Position: 1759, 5189, 0	
[7/10/18 12:52PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 1759, 5189, 0	
[7/10/18 12:56PM]	Dropped Item (Id: Item [id=15363, amount=1], Amount: 1) at Position: 3079, 3511, 0	
[7/10/18 12:56PM]	Picked up an item (Id: Item [id=15363, amount=1], Amount: 1) at Position: 3079, 3511, 0	
[7/10/18 01:02PM]	Bought Item from shop (9) (Id: 13734, Amount: 1)	
[7/10/18 01:06PM]	Bought Item from shop (9) (Id: 13734, Amount: 2)	
[7/11/18 11:27AM]	Bought Item from shop (19) (Id: 9775, Amount: 1)	
[7/11/18 12:03PM]	Dropped Item (Id: Item [id=20935, amount=1], Amount: 1) at Position: 3092, 3495, 0	
[7/11/18 12:03PM]	Picked up an item (Id: Item [id=20935, amount=1], Amount: 1) at Position: 3092, 3495, 0	
---[7/11/18 01:20PM]	---
Zelazz has given 50 Ruby Bolts to Turtle
[7/11/18 01:23PM]	Dropped Item (Id: Item [id=1543, amount=1], Amount: 145) at Position: 3504, 3570, 0	
[7/11/18 01:23PM]	Dropped Item (Id: Item [id=1543, amount=1], Amount: 145) at Position: 3504, 3570, 0	
[7/11/18 01:23PM]	Picked up an item (Id: Item [id=1543, amount=1], Amount: 1) at Position: 3504, 3570, 0	
[7/11/18 01:24PM]	Picked up an item (Id: Item [id=1543, amount=1], Amount: 1) at Position: 3503, 3571, 0	
[7/11/18 01:28PM]	Dropped Item (Id: Item [id=2732, amount=1], Amount: 1) at Position: 3501, 3573, 0	
[7/11/18 01:28PM]	Dropped Item (Id: Item [id=2730, amount=1], Amount: 0) at Position: 3501, 3573, 0	
[7/11/18 01:30PM]	Picked up an item (Id: Item [id=2732, amount=1], Amount: 1) at Position: 3501, 3572, 0	
[7/11/18 01:30PM]	Picked up an item (Id: Item [id=2730, amount=1], Amount: 1) at Position: 3501, 3573, 0	
[7/11/18 01:31PM]	Dropped Item (Id: Item [id=2732, amount=1], Amount: 0) at Position: 3500, 3573, 0	
[7/11/18 01:43PM]	Recieved Private-Message from User: Turtle which said 'have ckeys been buffed yet? '	
[7/11/18 01:43PM]	Sent Private-Message to User: turtle and said 'they needed to be buffed? '	
[7/11/18 01:43PM]	Recieved Private-Message from User: Turtle which said 'vali said he was gonna buff rewards'	
[7/11/18 01:45PM]	Sent Private-Message to User: turtle and said 'i can do that'	
[7/11/18 01:45PM]	Recieved Private-Message from User: Turtle which said 'ask vali, he probably knows what rewards he wants '	
[7/11/18 02:06PM]	Recieved Private-Message from User: Intro which said 'you understand how botched godwars is, '	
[7/11/18 02:07PM]	Sent Private-Message to User: intro and said 'ya totally broken, only boss that works 100% is bandos'	
[7/11/18 02:07PM]	Recieved Private-Message from User: Intro which said 'o ok. '	
[7/11/18 02:07PM]	Recieved Private-Message from User: Intro which said 'just making sure you knew, lol.'	
[7/11/18 02:07PM]	Sent Private-Message to User: intro and said 'hes remaking all of them so they work 100%'	
[7/11/18 02:08PM]	Recieved Private-Message from User: Intro which said 'holy fuck armadyls special attack. '	
[7/11/18 02:08PM]	Recieved Private-Message from User: Intro which said 'wtf. '	
